Date,Date2,FORECAST,STD,L95,U95,RESIDUAL
06OCT2016,06OCT2016,19750.298842,1411.318424,16984.16556,22516.432124,982.70115793
07OCT2016,07OCT2016,19751.273105,1411.318424,16985.139823,22517.406387,982.7268948
08OCT2016,08OCT2016,19752.280942,1411.318424,16986.14766,22518.414223,982.71905835
09OCT2016,09OCT2016,19753.23757,1411.318424,16987.104289,22519.370852,982.76242969
10OCT2016,10OCT2016,19754.141145,1411.318424,16988.007863,22520.274427,982.85885519
11OCT2016,11OCT2016,19755.068819,1411.318424,16988.935537,22521.202101,982.93118103
12OCT2016,12OCT2016,19756.055715,1411.318424,16989.922434,22522.188997,982.94428452
13OCT2016,13OCT2016,19757.04611,1411.318424,16990.912828,22523.179391,982.9538904
14OCT2016,14OCT2016,19757.983566,1411.318424,16991.850284,22524.116847,983.01643428
15OCT2016,15OCT2016,19758.894872,1411.318424,16992.76159,22525.028154,983.10512808
16OCT2016,16OCT2016,19759.843524,1411.318424,16993.710243,22525.976806,983.15647571
17OCT2016,17OCT2016,19760.8324,1411.318424,16994.699118,22526.965682,983.16760005
18OCT2016,18OCT2016,19761.804363,1411.318424,16995.671081,22527.937644,983.19563739
19OCT2016,19OCT2016,19762.732014,1411.318424,16996.598732,22528.865296,983.26798594
20OCT2016,20OCT2016,19763.65602,1411.318424,16997.522738,22529.789302,983.34398016
21OCT2016,21OCT2016,19764.619189,1411.318424,16998.485907,22530.752471,983.38081098
22OCT2016,22OCT2016,19765.602677,1411.318424,16999.469395,22531.735959,983.39732315
23OCT2016,23OCT2016,19766.558958,1411.318424,17000.425676,22532.692239,983.44104238
24OCT2016,24OCT2016,19767.484769,1411.318424,17001.351487,22533.618051,983.51523078
25OCT2016,25OCT2016,19768.422397,1411.318424,17002.289115,22534.555679,983.57760306
26OCT2016,26OCT2016,19769.393159,1411.318424,17003.259877,22535.526441,983.60684079
27OCT2016,27OCT2016,19770.367412,1411.318424,17004.23413,22536.500693,983.63258845
28OCT2016,28OCT2016,19771.31271,1411.318424,17005.179428,22537.445991,983.68729034
29OCT2016,29OCT2016,19772.242255,1411.318424,17006.108973,22538.375537,983.75774491
30OCT2016,30OCT2016,19773.191599,1411.318424,17007.058317,22539.32488,983.80840137
31OCT2016,31OCT2016,19774.164003,1411.318424,17008.030722,22540.297285,983.8359967
01NOV2016,01NOV2016,19775.128195,1411.318424,17008.994913,22541.261477,983.87180516
02NOV2016,02NOV2016,19776.067624,1411.318424,17009.934342,22542.200906,983.93237577
03NOV2016,03NOV2016,19777.003878,1411.318424,17010.870596,22543.13716,983.99612221
04NOV2016,04NOV2016,19777.961524,1411.318424,17011.828242,22544.094805,984.03847644
05NOV2016,05NOV2016,19778.931357,1411.318424,17012.798075,22545.064639,984.06864296
06NOV2016,06NOV2016,19779.886801,1411.318424,17013.753519,22546.020083,984.11319898
07NOV2016,07NOV2016,19780.824805,1411.318424,17014.691523,22546.958087,984.17519512
08NOV2016,08NOV2016,19781.768484,1411.318424,17015.635202,22547.901766,984.23151601
